"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2566690691","x1296055325909549058",2020-08-19 12:04:03,"CharmXtova","@IkejaElectric first you used up my1k airtime playing me adverts and never picked and still not replying online chat.youve debited my 10k and given me no recharge @CharmXtova see these wahala o #ikejaelectric","Twitter for Android",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x466374286 x4105547489","officialgzone IkejaElectric","en",,,,,,,,,,,,,,,,"x1296046662822113286","@IkejaElectric first you used up my1k airtime playing me adverts and never picked and still not replying online chat.youve debited my 10k and given me no recharge @CharmXtova see these wahala o #ikejaelectric",2020-08-19 11:29:38,"Twitter for iPhone",1,1,"x466374286","officialgzone","A RAP FOR THE GODS <U+0001F1F9><U+0001F1EC><U+0001F1F3><U+0001F1EC>",401,489,4986,"Lagos","GZONE! Don’t need a girl friend. INSTAGRAM @officialgzone; | I Create Websites | 3D Animation |",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CharmXtova/status/1296055325909549058","YOUR DREAM™","Lagos, Nigeria","| Hieroglyphic Braille | SDGs Advocate | Conscious Art Emcee | Milanista <U+0001F534><U+26AB> |",,FALSE,2100,1604,1,9310,13341,2014-05-27 07:12:40,FALSE,,,,"https://pbs.twimg.com/profile_banners/2566690691/1584399460","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1239687579961827328/k6f5kiso_normal.jpg"
"x466374286","x1296046662822113286",2020-08-19 11:29:38,"officialgzone","@IkejaElectric first you used up my1k airtime playing me adverts and never picked and still not replying online chat.youve debited my 10k and given me no recharge @CharmXtova see these wahala o #ikejaelectric","Twitter for iPhone",208,,"x4105547489","IkejaElectric",FALSE,FALSE,1,1,,,"ikejaelectric",,,,,,,,,,,,,"x4105547489 x2566690691","IkejaElectric CharmXtova","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/officialgzone/status/1296046662822113286","A RAP FOR THE GODS <U+0001F1F9><U+0001F1EC><U+0001F1F3><U+0001F1EC>","Lagos","GZONE! Don’t need a girl friend. INSTAGRAM @officialgzone; | I Create Websites | 3D Animation |","https://t.co/bOOMZsiFUj",FALSE,401,489,2,4986,1214,2012-01-17 10:17:15,FALSE,"https://t.co/bOOMZsiFUj","http://itunes.apple.com/album/id1217765636",,"https://pbs.twimg.com/profile_banners/466374286/1543941984","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1197845264595333121/bDhwYQRg_normal.jpg"
"x1264230054596415493","x1295822756068687875",2020-08-18 20:39:54,"FolakeofIbadan","@IkejaElectric @ieServe #ikejaelectric https://t.co/jcgZyn6JhA","Twitter for Android",38,,"x4105547489","IkejaElectric",FALSE,FALSE,0,0,,,"ikejaelectric",,,,,"http://pbs.twimg.com/media/Efuv7RYX0AEpzLb.jpg","https://t.co/jcgZyn6JhA","https://twitter.com/FolakeofIbadan/status/1295822756068687875/photo/1","photo","http://pbs.twimg.com/media/Efuv7RYX0AEpzLb.jpg","https://t.co/jcgZyn6JhA","https://twitter.com/FolakeofIbadan/status/1295822756068687875/photo/1",,"x4105547489 x4853060110","IkejaElectric ieServe","und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FolakeofIbadan/status/1295822756068687875","Shola","Egbeda","God is good",,FALSE,86,665,0,1253,1241,2020-05-23 16:22:05,FALSE,,,,"https://pbs.twimg.com/profile_banners/1264230054596415493/1590255816",,"http://pbs.twimg.com/profile_images/1264250532467793923/Vdcnglvj_normal.jpg"
"x1605693206","x1295661003934400512",2020-08-18 09:57:10,"OttLegalRebels","Don't wait till you are disconnected, use the 247electric app for you electricity bill payment or when your meter is out of unit.

#247electric #electricity #payments #convenience #ekedc #ikejaelectric #enugu #bill #IBEDC https://t.co/drko0JkRxA","CuratingDevList",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x955349964372267011","247electricNg","en",,,,,,,,,,,,,,,,"x1295648989631700998","Don't wait till you are disconnected, use the 247electric app for you electricity bill payment or when your meter is out of unit.

#247electric #electricity #payments #convenience #ekedc #ikejaelectric #enugu #bill #IBEDC https://t.co/drko0JkRxA",2020-08-18 09:09:25,"Twitter for Android",1,1,"x955349964372267011","247electricNg","247electric",121,474,312,"Lagos, Nigeria","Welcome To 247electric Report Issues  And Help Salvage The Power Sector. Leverage Mobile Technology To Solve  Power Sector Problems",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OttLegalRebels/status/1295661003934400512","Marc R Gagné MAPP <U+0001F341>","Ottawa, Ontario","Privacy Advocate, #CyberSecurity and Director @interfima, @PACC_CCAP @Magnifintech #Privacy #Fintech #BigData Telos Network #Adjudicator @irish_technews","https://t.co/anwRZTE7nd",FALSE,73713,43785,11420,707311,73191,2013-07-19 11:08:35,FALSE,"https://t.co/anwRZTE7nd","http://www.gagnelaw.ca",,"https://pbs.twimg.com/profile_banners/1605693206/1562058344","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1271799496222150656/l_97CUoe_normal.jpg"
"x955349964372267011","x1295648989631700998",2020-08-18 09:09:25,"247electricNg","Don't wait till you are disconnected, use the 247electric app for you electricity bill payment or when your meter is out of unit.

#247electric #electricity #payments #convenience #ekedc #ikejaelectric #enugu #bill #IBEDC https://t.co/drko0JkRxA","Twitter for Android",221,,,,FALSE,FALSE,1,1,,,"247electric electricity payments convenience ekedc ikejaelectric enugu bill IBEDC",,,,,"http://pbs.twimg.com/media/EfsR4uiXgAAJeqt.jpg","https://t.co/drko0JkRxA","https://twitter.com/247electricNg/status/1295648989631700998/photo/1","photo","http://pbs.twimg.com/media/EfsR4uiXgAAJeqt.jpg","https://t.co/drko0JkRxA","https://twitter.com/247electricNg/status/1295648989631700998/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/247electricNg/status/1295648989631700998","247electric","Lagos, Nigeria","Welcome To 247electric Report Issues  And Help Salvage The Power Sector. Leverage Mobile Technology To Solve  Power Sector Problems","https://t.co/bPnt6QbxA7",FALSE,121,474,0,312,177,2018-01-22 08:02:35,FALSE,"https://t.co/bPnt6QbxA7","http://247electric.ng",,"https://pbs.twimg.com/profile_banners/955349964372267011/1543241074","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1067057537978109952/gtcNC5YN_normal.jpg"
"x21352313","x1295444612358770689",2020-08-17 19:37:18,"yagbebi","@FunkeAwodiya @IkejaElectric #IkejaElectric accepting money for a service or product that you have no intention of providing is at worst fraud &amp; at best taking money under false pretence. When are you going to install Ms Awodiya’s meter? Your CEO really don’t want a CNN moment to explain why does he or she?","Twitter for iPad",283,"x1295410662542368768","x1295404523511525376","FunkeAwodiya",FALSE,FALSE,0,0,,,"IkejaElectric",,,,,,,,,,,,,"x1295404523511525376 x4105547489","FunkeAwodiya IkejaElectric","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/yagbebi/status/1295444612358770689","Yemmi Agbebi, MBA #BlackLivesMatter","Über Cool Home Counties-Europe","Liberation-Christian, Humanist, LatteSocialist, Migrant, African, Yòrúbá, EU-Brit. Ally to Palestine, Feminists, Animals, LGBT, BLM, Islam, Environment-ENTJ","https://t.co/HyXVdfNxQj",FALSE,4365,793,572,409654,14989,2009-02-19 23:28:20,FALSE,"https://t.co/HyXVdfNxQj","https://trid.trb.org/view/914068",,"https://pbs.twimg.com/profile_banners/21352313/1597259652","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1263204078382956544/TJJsstzQ_normal.jpg"
"x701900270","x1293655933927788544",2020-08-12 21:09:44,"rasheed084","@ayotunde4322 Reporting a bad person to his or her folks won’t yield much result. Would it? #ministyofpower #NERC #ikejaElectric","Twitter for iPhone",114,"x1293652721820729348","x382648772","ayotunde4322",FALSE,FALSE,0,0,,,"ministyofpower NERC ikejaElectric",,,,,,,,,,,,,"x382648772","ayotunde4322","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rasheed084/status/1293655933927788544","Rasheed Olu-Ajayi","","",,FALSE,82,124,0,114,78,2012-07-17 22:34:29,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/3038558086/c502fc6b046db59530b9a23b0241173e_normal.jpeg"
"x701900270","x1293652050006417414",2020-08-12 20:54:18,"rasheed084","@ayotunde4322 It’s because we Nigerians have so much being deprived of power as a necessity to life. Rather we see it as a privilege. #IkejaElectric stop this bogus billings","Twitter for iPhone",159,"x1293649272496361477","x382648772","ayotunde4322",FALSE,FALSE,0,0,,,"IkejaElectric",,,,,,,,,,,,,"x382648772","ayotunde4322","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rasheed084/status/1293652050006417414","Rasheed Olu-Ajayi","","",,FALSE,82,124,0,114,78,2012-07-17 22:34:29,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/3038558086/c502fc6b046db59530b9a23b0241173e_normal.jpeg"
"x3533438723","x1293182242483650562",2020-08-11 13:47:27,"yemysoneye","@IkejaElectric Please note all 3 prepaid meters are brand new with new generated account numbers @jidesanwoolu @SalehMamman @ieServe @IkejaElectric #ikejaelectric","Twitter for iPhone",147,"x1293151269104889856","x4105547489","IkejaElectric",FALSE,FALSE,1,0,,,"ikejaelectric",,,,,,,,,,,,,"x4105547489 x198084264 x987845863623069696 x4853060110 x4105547489","IkejaElectric jidesanwoolu SalehMamman ieServe IkejaElectric","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/yemysoneye/status/1293182242483650562","Deola Soneye","","",,FALSE,116,200,0,373,1046,2015-09-03 11:23:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/3533438723/1441359751","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/915554891430531073/UilSUfs0_normal.jpg"
